ID_Commessa;Data\Ora;Alarm;Periferica;Valore;Codice;Descrizione
2;2025-03-05 17:57:00;Silent Warning;Satellite4;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 17:57:00;Silent Warning;Satellite4;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 17:55:00;Silent Warning;Satellite4;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 17:55:00;Silent Warning;Satellite4;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 17:52:00;Silent Warning;Satellite3;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 17:52:00;Silent Warning;Satellite3;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 17:50:00;Silent Warning;Satellite3;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 17:50:00;Silent Warning;Satellite3;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 17:48:00;Silent Warning;Satellite2;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 17:48:00;Silent Warning;Satellite2;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
2;2025-03-05 17:43:00;Silent Warning;Satellite4;OFF;DB126.DBX4.0;#33 - Attivata Correzione per Satellite non in tolleranza
