Data\Ora;Tipologia;Periferica;Valore;Codice;Descrizione
09/05/2025 02:44:36;;7N0403;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 02:44:36;;7S0404;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 02:44:36;;7N0405;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 02:44:36;;7S0404;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 02:44:36;;7N0405;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 02:44:35;;7S0403;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 02:44:35;;7S0403;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 02:44:35;;7S0405;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 02:44:35;;7S0405;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 02:44:35;;7N0403;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 02:44:34;;7N0404;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 02:43:13;;7N0404;ON;DB106.DBX0.1;#1002 - Missione Prelievo UDC - Tempo massimo di esecuzione raggiunto
09/05/2025 02:24:19;;7N0102;ON;DB106.DBX0.1;#1002 - Missione Prelievo UDC - Tempo massimo di esecuzione raggiunto
09/05/2025 02:21:15;;7N0102;OFF;DB106.DBX16.3;#20 - General - Passaggio in modalità manuale con missioni appese
09/05/2025 02:20:07;;7N0102;ON;DB106.DBX16.3;#20 - General - Passaggio in modalità manuale con missioni appese
09/05/2025 02:18:19;;7N0102;OFF;DB106.DBX0.1;#1002 - Missione Prelievo UDC - Tempo massimo di esecuzione raggiunto
09/05/2025 02:03:12;;7N0102;ON;DB106.DBX0.1;#1002 - Missione Prelievo UDC - Tempo massimo di esecuzione raggiunto
09/05/2025 02:00:07;;7N0102;OFF;DB106.DBX0.1;#1002 - Missione Prelievo UDC - Tempo massimo di esecuzione raggiunto
09/05/2025 01:59:07;;7S0202;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 01:59:07;;7S0202;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 01:59:06;;7S0203;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 01:59:06;;7S0203;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 01:59:06;;7N0202;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 01:59:06;;7N0202;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 01:59:06;;7S0204;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 01:59:06;;7S0204;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 01:59:06;;7N0203;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 01:59:06;;7N0203;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 01:59:06;;7N0203;OFF;DB106.DBX14.2;#3 - Hardware - Premuto fungo di emergenza lato backward
09/05/2025 01:59:06;;7N0204;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 01:59:06;;7N0204;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 01:58:21;;7N0202;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
